date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:25	1223/1223	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Jun%202013%2007:17:35%20GMT	http://kalynnakano.com/visualizer/css/xx.css	/home/ptelemoveis/websites/CV/kalynnakano.com/visualizer/css/xx.css	(from http://kalynnakano.com/visualizer/xx.html)
10:50:33	314528/314528	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Oct%202013%2008:15:14%20GMT	http://kalynnakano.com/img/portfolio/labs2.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/portfolio/labs2.png	(from http://kalynnakano.com/)
10:50:33	83095/83095	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20May%202013%2013:16:10%20GMT	http://kalynnakano.com/visualizer/js/jquery-2.0.0.min.js	/home/ptelemoveis/websites/CV/kalynnakano.com/visualizer/js/jquery-2.0.0.min.js	(from http://kalynnakano.com/visualizer/xx.html)
10:50:35	7297/7297	---M--	200	added ('OK')	application/javascript	date:Sat,%2015%20Jun%202013%2016:57:54%20GMT	http://kalynnakano.com/visualizer/js/OrbitControls-xx.js	/home/ptelemoveis/websites/CV/kalynnakano.com/visualizer/js/OrbitControls-xx.js	(from http://kalynnakano.com/visualizer/xx.html)
10:50:35	2929/2929	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2015%20Jun%202013%2016:51:17%20GMT	http://kalynnakano.com/visualizer/js/xx.js	/home/ptelemoveis/websites/CV/kalynnakano.com/visualizer/js/xx.js	(from http://kalynnakano.com/visualizer/xx.html)
10:50:37	3186/3186	---M--	200	added ('OK')	application/javascript	date:Mon,%2016%20Oct%202017%2008:27:00%20GMT	http://kalynnakano.com/visualizer/js/audio-xx.js	/home/ptelemoveis/websites/CV/kalynnakano.com/visualizer/js/audio-xx.js	(from http://kalynnakano.com/visualizer/xx.html)
10:50:37	0/0	UR-M-Z	416	error ('Requested%20range%20not%20satisfiable')	text/javascript	date:Thu,%2020%20Jun%202019%2021:35:04%20GMT	http://www.google-analytics.com/analytics.js	/home/ptelemoveis/websites/CV/www.google-analytics.com/analytics.js	(from http://kalynnakano.com/)
10:50:38	520/520	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2031%20Jul%202019%2009:50:37%20GMT	http://kalynnakano.com/img/big.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/big.png	(from http://kalynnakano.com/)
10:50:39	520/520	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2031%20Jul%202019%2009:50:38%20GMT	http://kalynnakano.com/img/companies/roski.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/companies/roski.png	(from http://kalynnakano.com/)
10:50:40	520/520	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2031%20Jul%202019%2009:50:39%20GMT	http://kalynnakano.com/img/portfolio/xx_03.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/portfolio/xx_03.png	(from http://kalynnakano.com/)
10:50:40	793/793	---M--	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202013%2001:11:16%20GMT	http://kalynnakano.com/visualizer/xx.html	/home/ptelemoveis/websites/CV/kalynnakano.com/visualizer/xx.html	(from http://kalynnakano.com/)
10:50:43	0/0	UR-M-Z	416	error ('Requested%20range%20not%20satisfiable')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	/home/ptelemoveis/websites/CV/ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	(from http://kalynnakano.com/)
10:50:43	520/520	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2031%20Jul%202019%2009:50:41%20GMT	http://kalynnakano.com/js/jquery.fixedTOC.js?v=3.0	/home/ptelemoveis/websites/CV/kalynnakano.com/js/jquery.fixedTOCc3db.js	(from http://kalynnakano.com/)
10:50:45	520/520	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2031%20Jul%202019%2009:50:43%20GMT	http://kalynnakano.com/dist/jquery.magnific-popup.js?v=0.9.8	/home/ptelemoveis/websites/CV/kalynnakano.com/dist/jquery.magnific-popup970d.js	(from http://kalynnakano.com/)
10:50:45	520/520	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2031%20Jul%202019%2009:50:44%20GMT	http://kalynnakano.com/visualizer/js/jquery-2.0.0.min.js	/home/ptelemoveis/websites/CV/kalynnakano.com/visualizer/js/jquery-2.0.0.min.js	(from http://kalynnakano.com/visualizer/xx.html)
10:50:47	520/520	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2031%20Jul%202019%2009:50:45%20GMT	http://kalynnakano.com/visualizer/js/xx.js	/home/ptelemoveis/websites/CV/kalynnakano.com/visualizer/js/xx.js	(from http://kalynnakano.com/visualizer/xx.html)
10:50:47	520/520	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2031%20Jul%202019%2009:50:45%20GMT	http://kalynnakano.com/visualizer/js/OrbitControls-xx.js	/home/ptelemoveis/websites/CV/kalynnakano.com/visualizer/js/OrbitControls-xx.js	(from http://kalynnakano.com/visualizer/xx.html)
10:50:47	411428/411428	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20May%202013%2013:16:10%20GMT	http://kalynnakano.com/visualizer/js/three.min.js	/home/ptelemoveis/websites/CV/kalynnakano.com/visualizer/js/three.min.js	(from http://kalynnakano.com/visualizer/xx.html)
10:50:49	520/520	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2031%20Jul%202019%2009:50:47%20GMT	http://kalynnakano.com/visualizer/js/audio-xx.js	/home/ptelemoveis/websites/CV/kalynnakano.com/visualizer/js/audio-xx.js	(from http://kalynnakano.com/visualizer/xx.html)
10:50:53	32936/32936	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202013%2006:59:28%20GMT	http://kalynnakano.com/img/companies/ideo-3.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/companies/ideo-3.png	(from http://kalynnakano.com/)
10:51:39	305207/305207	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Oct%202013%2008:16:47%20GMT	http://kalynnakano.com/img/portfolio/apollo2.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/portfolio/apollo2.png	(from http://kalynnakano.com/)
10:52:01	476/476	UR-M--	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202019%2009:52:01%20GMT	http://fonts.googleapis.com/css?family=Raleway:200,300	/home/ptelemoveis/websites/CV/fonts.googleapis.com/cssc9da.css	(from http://kalynnakano.com/visualizer/xx.html)
10:52:03	1038/1038	---M--	200	added ('OK')	image/png	date:Thu,%2009%20May%202013%2013:16:10%20GMT	http://kalynnakano.com/visualizer/images/play.png	/home/ptelemoveis/websites/CV/kalynnakano.com/visualizer/images/play.png	(from http://kalynnakano.com/visualizer/css/xx.css)
10:53:47	1649535/1649535	UR-M--	200	added ('Partial%20Content')	image/png	date:Tue,%2029%20Oct%202013%2009:20:32%20GMT	http://kalynnakano.com/img/portfolio/cube2.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/portfolio/cube2.png	(from http://kalynnakano.com/)
10:53:55	756282/756282	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Nov%202013%2010:10:02%20GMT	http://kalynnakano.com/img/portfolio/homefit.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/portfolio/homefit.png	(from http://kalynnakano.com/)
